Position(m)	Deflection(m)
4.7	0.0423665
4.705	0.0419186
4.71	0.0417081
4.715	0.0416752
4.72	0.0417598
4.725	0.0419021
4.73	0.0420419
4.735	0.0421193
4.74	0.0420744
4.745	0.0418472
4.75	0.0413776
4.755	0.0409109
4.76	0.0406907
4.765	0.0406547
4.77	0.0407408
4.775	0.0408868
4.78	0.0410303
4.785	0.0411092
4.79	0.0410613
4.795	0.0408243
4.8	0.0403359
4.805	0.0398505
4.81	0.0396207
4.815	0.0395819
4.82	0.0396698
4.825	0.0398197
4.83	0.0399673
4.835	0.0400479
4.84	0.0399972
4.845	0.0397506
4.85	0.0392436
4.855	0.0387396
4.86	0.0385003
4.865	0.0384591
4.87	0.038549
4.875	0.0387033
4.88	0.0388553
4.885	0.0389381
4.89	0.0388849
4.895	0.038629
4.9	0.0381035
4.905	0.037581
4.91	0.0373327
4.915	0.0372893
4.92	0.0373817
4.925	0.0375409
4.93	0.0376977
4.935	0.037783
4.94	0.0377278
4.945	0.0374629
4.95	0.0369192
4.955	0.0363787
4.96	0.0361215
4.965	0.0360764
4.97	0.0361719
4.975	0.0363364
4.98	0.0364987
4.985	0.0365871
4.99	0.0365304
4.995	0.036257
5	0.0356955
5.005	0.0351371
5.01	0.0348718
5.015	0.0348255
5.02	0.0349246
5.025	0.0350952
5.03	0.0352635
5.035	0.0353557
5.04	0.035298
5.045	0.0350167
5.05	0.0344378
5.055	0.0338622
5.06	0.0335891
5.065	0.0335424
5.07	0.0336458
5.075	0.0338232
5.08	0.0339984
5.085	0.0340951
5.09	0.0340373
5.095	0.0337486
5.1	0.0331529
5.105	0.0325606
5.11	0.0322806
5.115	0.0322342
5.12	0.0323428
5.125	0.0325279
5.13	0.0327108
5.135	0.0328129
5.14	0.0327557
5.145	0.0324605
5.15	0.0318487
5.155	0.0312405
5.16	0.0309543
5.165	0.0309091
5.17	0.0310239
5.175	0.0312176
5.18	0.0314093
5.185	0.0315178
5.19	0.0314622
5.195	0.0311614
5.2	0.0305344
5.205	0.0298192
5.21	0.0292786
5.215	0.0288683
5.22	0.0285443
5.225	0.0282624
5.23	0.0279785
5.235	0.0276485
5.24	0.0272283
5.245	0.0266737
5.25	0.0259406
5.255	0.0251026
5.26	0.0242626
5.265	0.0234207
5.27	0.022577
5.275	0.0217313
5.28	0.0208837
5.285	0.0200342
5.29	0.0191829
5.295	0.0183297
5.3	0.0174746
5.305	0.0166177
5.31	0.015759
5.315	0.0148984
5.32	0.0140361
5.325	0.0131719
5.33	0.0123059
5.335	0.0114382
5.34	0.0105687
5.345	0.0096974
5.35	0.00882437
5.355	0.0079496
5.36	0.0070731
5.365	0.00619488
5.37	0.00531495
5.375	0.00443332
5.38	0.00355
5.385	0.00266499
5.39	0.00177832
5.395	0.000889986
5.4	1.00779e-11
5.405	-0.000891189
5.41	-0.00178314
5.415	-0.00267585
5.42	-0.00356931
5.425	-0.00446352
5.43	-0.00535848
5.435	-0.00625418
5.44	-0.00715062
5.445	-0.00804781
5.45	-0.00894572
5.455	-0.00984437
5.46	-0.0107437
5.465	-0.0116438
5.47	-0.0125447
5.475	-0.0134462
5.48	-0.0143484
5.485	-0.0152514
5.49	-0.0161551
5.495	-0.0170594
5.5	-0.0179645
5.505	-0.0187454
5.51	-0.0193127
5.515	-0.0197202
5.52	-0.0200212
5.525	-0.0202694
5.53	-0.0205183
5.535	-0.0208214
5.54	-0.0212323
5.545	-0.0218044
5.55	-0.0225914
5.555	-0.0232789
5.56	-0.0235815
5.565	-0.0235955
5.57	-0.0234172
5.575	-0.0231432
5.58	-0.0228698
5.585	-0.0226936
5.59	-0.0227108
5.595	-0.0230179
5.6	-0.0237113
5.605	-0.0244026
5.61	-0.0247041
5.615	-0.0247134
5.62	-0.0245281
5.625	-0.0242458
5.63	-0.0239641
5.635	-0.0237807
5.64	-0.0237931
5.645	-0.024099
5.65	-0.0247959
5.655	-0.0254907
5.66	-0.0257908
5.665	-0.0257952
5.67	-0.0256026
5.675	-0.0253118
5.68	-0.0250216
5.685	-0.0248309
5.69	-0.0248383
5.695	-0.0251427
5.7	-0.0258428
5.705	-0.0265409
5.71	-0.0268395
5.715	-0.0268388
5.72	-0.0266387
5.725	-0.0263392
5.73	-0.0260403
5.735	-0.0258419
5.74	-0.0258441
5.745	-0.0261469
5.75	-0.0268502
5.755	-0.0275513
5.76	-0.0278483
5.765	-0.0278423
5.77	-0.0276345
5.775	-0.0273261
5.78	-0.0270184
5.785	-0.0268123
5.79	-0.0268092
5.795	-0.0271102
5.8	-0.0278164
5.805	-0.0285205
5.81	-0.0288157
5.815	-0.0288043
5.82	-0.0285887
5.825	-0.0282714
5.83	-0.0279546
5.835	-0.0277408
5.84	-0.0277322
5.845	-0.0280313
5.85	-0.0287405
5.855	-0.0294474
5.86	-0.0297407
5.865	-0.0297238
5.87	-0.0295004
5.875	-0.029174
5.88	-0.0288482
5.885	-0.0286265
5.89	-0.0286124
5.895	-0.0289096
5.9	-0.0296215
5.905	-0.0303313
5.91	-0.0306226
5.915	-0.0306002
5.92	-0.0303689
5.925	-0.0300334
5.93	-0.0296984
5.935	-0.0294688
5.94	-0.0294492
5.945	-0.0297444
5.95	-0.0304592
5.955	-0.0311717
5.96	-0.031461
5.965	-0.0314331
5.97	-0.0311938
5.975	-0.0308492
5.98	-0.0305051
5.985	-0.0302675
5.99	-0.0302424
5.995	-0.0305356
6	-0.0312531
6.005	-0.0319685
6.01	-0.0322558
6.015	-0.0322223
6.02	-0.0319751
6.025	-0.0316214
6.03	-0.0312682
6.035	-0.0310227
6.04	-0.030992
6.045	-0.0312833
6.05	-0.0320036
6.055	-0.0327217
6.06	-0.0330071
6.065	-0.0329681
6.07	-0.032713
6.075	-0.0323502
6.08	-0.0319879
6.085	-0.0317345
6.09	-0.0316983
6.095	-0.0319877
6.1	-0.0327109
6.105	-0.0334318
6.11	-0.0337153
6.115	-0.0336708
6.12	-0.0334079
6.125	-0.033036
6.13	-0.0326647
6.135	-0.0324035
6.14	-0.0323618
6.145	-0.0326493
6.15	-0.0333754
6.155	-0.0340993
6.16	-0.034381
6.165	-0.0343311
6.17	-0.0340603
6.175	-0.0336795
6.18	-0.0332992
6.185	-0.0330302
6.19	-0.0329832
6.195	-0.0332689
6.2	-0.033998
6.205	-0.0347249
6.21	-0.0350048
6.215	-0.0349495
6.22	-0.0346711
6.225	-0.0342814
6.23	-0.0338922
6.235	-0.0336155
6.24	-0.0335632
6.245	-0.0338472
6.25	-0.0345794
6.255	-0.0353094
6.26	-0.0355876
6.265	-0.0355272
6.27	-0.0352411
6.275	-0.0348426
6.28	-0.0344447
6.285	-0.0341604
6.29	-0.0341029
6.295	-0.0343854
6.3	-0.0351207
6.305	-0.0358539
6.31	-0.0361306
6.315	-0.036065
6.32	-0.0357715
6.325	-0.0353643
6.33	-0.0349577
6.335	-0.0346659
6.34	-0.0346034
6.345	-0.0348844
6.35	-0.0356231
6.355	-0.0363596
6.36	-0.0366348
6.365	-0.0365642
6.37	-0.0362633
6.375	-0.0358475
6.38	-0.0354324
6.385	-0.0351333
6.39	-0.0350658
6.395	-0.0353454
6.4	-0.0360876
6.405	-0.0368276
6.41	-0.0371015
6.415	-0.037026
6.42	-0.0367179
6.425	-0.0362936
6.43	-0.0358701
