Position(m)	Shear_Force(N)
53.8	-83453.3
53.9	-83591.1
54	-83729
54.1	-83866.8
54.2	-84004.6
54.3	-84142.5
54.4	-84280.3
54.5	-84418.1
54.6	-84556
54.7	-84693.8
54.8	-84831.6
54.9	-84969.4
55	-85107.3
55.1	-85245.1
55.2	-85382.9
55.3	-85520.8
55.4	-85658.6
55.5	-85796.4
55.6	-85934.3
55.7	-86072.1
55.8	-86209.9
55.9	-86347.8
56	-86485.6
56.1	-86623.4
56.2	-86761.3
56.3	-86899.1
56.4	-87036.9
56.5	-87174.8
56.6	-87312.6
56.7	-87450.4
56.8	-87588.2
56.9	-87726.1
57	-87863.9
57.1	-88001.7
57.2	-88139.6
57.3	-88277.4
57.4	-88415.2
57.5	-88553.1
57.6	-88690.9
57.7	-88828.7
57.8	-88966.6
57.9	-89104.4
58	-89242.2
58.1	-89380.1
58.2	-89517.9
58.3	-89655.7
58.4	-89793.5
58.5	-89931.4
58.6	-90069.2
58.7	-90207
58.8	-90344.9
58.9	-90482.7
59	-90620.5
59.1	-90758.4
59.2	-90896.2
59.3	-91034
59.4	-91171.9
59.5	-91309.7
59.6	-91447.5
59.7	-91585.4
59.8	-91723.2
59.9	-91861
60	-91998.9
60.1	-92136.7
60.2	-92274.5
60.3	-92412.3
60.4	-92550.2
60.5	-92688
60.6	-92825.8
60.7	-92963.7
60.8	-93101.5
60.9	-93239.3
61	-93377.2
61.1	-93515
61.2	-93652.8
61.3	-93790.7
61.4	-93928.5
61.5	-94066.3
61.6	-94204.1
61.7	-94342
61.8	-94479.8
61.9	-94617.6
62	-94755.5
62.1	-94893.3
62.2	-95031.1
62.3	-95169
62.4	-95306.8
62.5	-95444.6
62.6	-95582.5
62.7	-95720.3
62.8	-95858.1
62.9	-95996
63	-96133.8
63.1	-96271.6
63.2	-96409.5
63.3	-96547.3
63.4	-96685.1
63.5	-96822.9
63.6	-96960.8
63.7	-97098.6
63.8	-97236.4
63.9	-97374.3
64	-97512.1
64.1	-97649.9
64.2	-97787.8
64.3	-97925.6
64.4	-98063.4
64.5	-98201.3
64.6	-98339.1
64.7	-98476.9
64.8	-98614.8
64.9	-98752.6
65	-98890.4
65.1	-99028.2
65.2	-99166.1
65.3	-99303.9
65.4	-99441.7
65.5	-99579.6
65.6	-99717.4
65.7	-99855.2
65.8	-99993.1
65.9	-100131
66	-100269
66.1	-100407
66.2	-100544
66.3	-100682
66.4	-100820
66.5	-100958
66.6	-101096
66.7	-101234
66.8	-101371
66.9	-101509
67	-101647
67.1	-101785
67.2	-101923
67.3	-102061
67.4	-102198
67.5	-102336
67.6	-102474
67.7	-102612
67.8	-102750
67.9	-102888
68	-103025
68.1	-103163
68.2	-103301
68.3	-103439
68.4	-103577
68.5	-103715
68.6	-103852
68.7	-103990
68.8	-104128
68.9	-104266
69	-104404
69.1	-104541
69.2	-104679
69.3	-104817
69.4	-104955
69.5	-105093
69.6	-105231
69.7	-105368
69.8	-105506
69.9	-105644
70	-105782
70.1	-105920
70.2	-106058
70.3	-106195
70.4	-106333
70.5	-106471
70.6	-106609
70.7	-106747
70.8	-106885
70.9	-107022
71	-107160
71.1	-107298
71.2	-107436
71.3	-107574
71.4	-107712
71.5	-107849
71.6	-107987
71.7	-108125
71.8	-108263
71.9	-108401
72	-108539
72.1	-108676
72.2	-108814
72.3	-108952
72.4	-109090
72.5	-109228
72.6	-109366
72.7	-109503
72.8	-109641
72.9	-109779
73	-109917
73.1	-110055
73.2	-110193
73.3	-110330
73.4	-110468
73.5	-110606
73.6	-110744
73.7	-110882
73.8	-111020
73.9	-111157
74	-111295
74.1	-111433
74.2	-111571
74.3	-111709
74.4	-111847
74.5	-111984
74.6	-112122
74.7	-112260
74.8	-112398
74.9	-112536
75	-112674
75.1	-112811
75.2	-112949
75.3	-113087
75.4	-113225
75.5	-113363
75.6	-113501
75.7	-113638
75.8	-113776
75.9	-113914
76	-114052
76.1	-114190
76.2	-114328
76.3	-114465
76.4	-114603
76.5	-114741
76.6	-114879
76.7	-115017
76.8	-115155
76.9	-115292
77	-115430
77.1	-115568
77.2	-115706
77.3	-115844
77.4	-115981
77.5	-116119
77.6	-116257
77.7	-116395
77.8	-116533
77.9	-116671
78	-116808
78.1	-116946
78.2	-117084
78.3	-117222
78.4	-117360
78.5	-117498
78.6	-117635
78.7	-117773
78.8	-117911
78.9	-118049
79	-118187
79.1	-118325
79.2	-118462
79.3	-118600
79.4	-118738
79.5	-118876
79.6	-119014
79.7	-119152
79.8	-119289
79.9	-119427
80	-119565
80.1	-119703
80.2	-119841
80.3	-119979
80.4	-120116
80.5	-120254
80.6	-120392
80.7	-120530
80.8	-120668
80.9	103858
81	103720
81.1	103582
81.2	103444
81.3	103306
81.4	103169
81.5	103031
81.6	102893
81.7	102755
81.8	102617
81.9	102479
82	102342
82.1	102204
82.2	102066
82.3	101928
82.4	101790
82.5	101652
82.6	101515
82.7	101377
82.8	101239
82.9	101101
83	100963
83.1	100825
83.2	100688
83.3	100550
83.4	100412
83.5	100274
83.6	100136
83.7	99998.5
83.8	99860.6
83.9	99722.8
84	99585
84.1	99447.1
84.2	99309.3
84.3	99171.5
84.4	99033.6
84.5	98895.8
84.6	98758
84.7	98620.1
84.8	98482.3
84.9	98344.5
85	98206.7
85.1	98068.8
85.2	97931
85.3	97793.2
85.4	97655.3
85.5	97517.5
85.6	97379.7
85.7	97241.8
85.8	97104
85.9	96966.2
86	96828.3
86.1	96690.5
86.2	96552.7
86.3	96414.8
86.4	96277
86.5	96139.2
86.6	96001.4
86.7	95863.5
86.8	95725.7
86.9	95587.9
87	95450
87.1	95312.2
87.2	95174.4
87.3	95036.5
87.4	94898.7
87.5	94760.9
87.6	94623
87.7	94485.2
87.8	94347.4
87.9	94209.5
88	94071.7
88.1	93933.9
88.2	93796
88.3	93658.2
88.4	93520.4
88.5	93382.6
88.6	93244.7
88.7	93106.9
88.8	92969.1
88.9	92831.2
89	92693.4
89.1	92555.6
89.2	92417.7
89.3	92279.9
89.4	92142.1
89.5	92004.2
89.6	91866.4
89.7	91728.6
89.8	91590.8
89.9	91452.9
90	91315.1
90.1	91177.3
90.2	91039.4
90.3	90901.6
90.4	90763.8
90.5	90625.9
90.6	90488.1
90.7	90350.3
90.8	90212.4
90.9	90074.6
91	89936.8
91.1	89798.9
91.2	89661.1
91.3	89523.3
91.4	89385.5
91.5	89247.6
91.6	89109.8
91.7	88972
91.8	88834.1
91.9	88696.3
92	88558.5
92.1	88420.6
92.2	88282.8
92.3	88145
92.4	88007.1
92.5	87869.3
92.6	87731.5
92.7	87593.6
92.8	87455.8
92.9	87318
93	87180.2
93.1	87042.3
93.2	86904.5
93.3	86766.7
93.4	86628.8
93.5	86491
93.6	86353.2
93.7	86215.3
93.8	86077.5
93.9	85939.7
94	85801.8
94.1	85664
94.2	85526.2
94.3	85388.3
94.4	85250.5
94.5	85112.7
94.6	84974.8
94.7	84837
94.8	84699.2
94.9	84561.4
95	84423.5
95.1	84285.7
