Position(m)	Bending_Moment(Nm)
42.2	-1.66158e+07
42.3	-1.66002e+07
42.4	-1.65843e+07
42.5	-1.65681e+07
42.6	-1.65515e+07
42.7	-1.65346e+07
42.8	-1.65174e+07
42.9	-1.64997e+07
43	-1.64818e+07
43.1	-1.64635e+07
43.2	-1.64449e+07
43.3	-1.64259e+07
43.4	-1.64065e+07
43.5	-1.63868e+07
43.6	-1.63668e+07
43.7	-1.63464e+07
43.8	-1.63256e+07
43.9	-1.63045e+07
44	-1.62831e+07
44.1	-1.62613e+07
44.2	-1.62391e+07
44.3	-1.62165e+07
44.4	-1.61936e+07
44.5	-1.61704e+07
44.6	-1.61468e+07
44.7	-1.61228e+07
44.8	-1.60984e+07
44.9	-1.60737e+07
45	-1.60486e+07
45.1	-1.60232e+07
45.2	-1.59974e+07
45.3	-1.59712e+07
45.4	-1.59446e+07
45.5	-1.59177e+07
45.6	-1.58904e+07
45.7	-1.58627e+07
45.8	-1.58346e+07
45.9	-1.58062e+07
46	-1.57774e+07
46.1	-1.57482e+07
46.2	-1.57186e+07
46.3	-1.56887e+07
46.4	-1.56584e+07
46.5	-1.56276e+07
46.6	-1.55965e+07
46.7	-1.55651e+07
46.8	-1.55332e+07
46.9	-1.55009e+07
47	-1.54683e+07
47.1	-1.54352e+07
47.2	-1.54018e+07
47.3	-1.5368e+07
47.4	-6.76347e+06
47.5	-6.72886e+06
47.6	-6.69385e+06
47.7	-6.65845e+06
47.8	-6.62265e+06
47.9	-6.58646e+06
48	-6.54986e+06
48.1	-6.51287e+06
48.2	-6.47548e+06
48.3	-6.43769e+06
48.4	-6.39949e+06
48.5	-6.3609e+06
48.6	-6.3219e+06
48.7	-6.2825e+06
48.8	-6.2427e+06
48.9	-6.20249e+06
49	-6.16188e+06
49.1	-6.12086e+06
49.2	-6.07944e+06
49.3	-6.0376e+06
49.4	-5.99536e+06
49.5	-5.95271e+06
49.6	-5.90965e+06
49.7	-5.86618e+06
49.8	-5.8223e+06
49.9	-5.77801e+06
50	-5.7333e+06
50.1	-5.68818e+06
50.2	-5.64265e+06
50.3	-5.5967e+06
50.4	-5.55034e+06
50.5	-5.50356e+06
50.6	-5.45636e+06
50.7	-5.40875e+06
50.8	-5.36071e+06
50.9	-5.31226e+06
51	-5.26339e+06
51.1	-5.2141e+06
51.2	-5.16439e+06
51.3	-5.11425e+06
51.4	-5.06369e+06
51.5	-5.01271e+06
51.6	-4.96131e+06
51.7	-4.90947e+06
51.8	-4.85722e+06
51.9	-4.80454e+06
52	-4.75143e+06
52.1	-4.69789e+06
52.2	-4.64392e+06
52.3	-4.58953e+06
52.4	-4.5347e+06
52.5	-4.47944e+06
52.6	-4.42376e+06
52.7	-4.36763e+06
52.8	-4.31108e+06
52.9	-4.25409e+06
53	-4.19667e+06
53.1	-4.13882e+06
53.2	-4.08052e+06
53.3	-4.0218e+06
53.4	-3.96263e+06
53.5	-3.90302e+06
53.6	-3.84298e+06
53.7	-3.7825e+06
53.8	-3.72158e+06
53.9	-3.66021e+06
54	-3.59841e+06
54.1	-3.53616e+06
54.2	-3.47347e+06
54.3	-3.41033e+06
54.4	-3.34675e+06
